target,mode,template,template_match,correlation,abs_correlation
positive_delta_g,1,cored_isothermal_xc1,cored_isothermal_xc1,0.029519297537493203,0.029519297537493203
positive_delta_g,1,log_tail_x0_1,log_tail_x0_1,0.8849004886977019,0.8849004886977019
positive_delta_g,1,nfw_like_rs1,nfw_like_rs1,0.9139132118331669,0.9139132118331669
positive_delta_g,1,nfw_like_rs3,nfw_like_rs3,0.8128469564974801,0.8128469564974801
positive_delta_g,1,central_peak,central_peak,0.38923903618601935,0.38923903618601935
positive_delta_g,1,broad_outer_tail,broad_outer_tail,0.888106741666514,0.888106741666514
positive_delta_g,2,cored_isothermal_xc1,cored_isothermal_xc1,0.8782600783919355,0.8782600783919355
positive_delta_g,2,log_tail_x0_1,log_tail_x0_1,0.6320660183035102,0.6320660183035102
positive_delta_g,2,nfw_like_rs1,nfw_like_rs1,0.5874404504832853,0.5874404504832853
positive_delta_g,2,nfw_like_rs3,nfw_like_rs3,0.7103535465165419,0.7103535465165419
positive_delta_g,2,central_peak,central_peak,0.9682647511152725,0.9682647511152725
positive_delta_g,2,broad_outer_tail,broad_outer_tail,0.6223760337661666,0.6223760337661666
positive_delta_g,3,cored_isothermal_xc1,opposite_of_cored_isothermal_xc1,-0.7934466118909844,0.7934466118909844
positive_delta_g,3,log_tail_x0_1,opposite_of_log_tail_x0_1,-0.8924610108425162,0.8924610108425162
positive_delta_g,3,nfw_like_rs1,opposite_of_nfw_like_rs1,-0.8597128745513591,0.8597128745513591
positive_delta_g,3,nfw_like_rs3,opposite_of_nfw_like_rs3,-0.9426388190594283,0.9426388190594283
positive_delta_g,3,central_peak,opposite_of_central_peak,-0.8642954681441719,0.8642954681441719
positive_delta_g,3,broad_outer_tail,opposite_of_broad_outer_tail,-0.8912355882781159,0.8912355882781159
positive_delta_g,4,cored_isothermal_xc1,opposite_of_cored_isothermal_xc1,-0.25557043476696006,0.25557043476696006
positive_delta_g,4,log_tail_x0_1,opposite_of_log_tail_x0_1,-0.7983401747600994,0.7983401747600994
positive_delta_g,4,nfw_like_rs1,opposite_of_nfw_like_rs1,-0.8180768342668847,0.8180768342668847
positive_delta_g,4,nfw_like_rs3,opposite_of_nfw_like_rs3,-0.7492675689080572,0.7492675689080572
positive_delta_g,4,central_peak,opposite_of_central_peak,-0.7341780511650722,0.7341780511650722
positive_delta_g,4,broad_outer_tail,opposite_of_broad_outer_tail,-0.7864162186427491,0.7864162186427491
positive_delta_g,5,cored_isothermal_xc1,cored_isothermal_xc1,0.574374803501639,0.574374803501639
positive_delta_g,5,log_tail_x0_1,opposite_of_log_tail_x0_1,-0.3194052617576761,0.3194052617576761
positive_delta_g,5,nfw_like_rs1,opposite_of_nfw_like_rs1,-0.38149547913200327,0.38149547913200327
positive_delta_g,5,nfw_like_rs3,opposite_of_nfw_like_rs3,-0.19183293093051157,0.19183293093051157
positive_delta_g,5,central_peak,central_peak,0.06545229390579124,0.06545229390579124
positive_delta_g,5,broad_outer_tail,opposite_of_broad_outer_tail,-0.31674173558352814,0.31674173558352814
positive_delta_g,6,cored_isothermal_xc1,cored_isothermal_xc1,0.6553185284078854,0.6553185284078854
positive_delta_g,6,log_tail_x0_1,opposite_of_log_tail_x0_1,-0.13457128150531286,0.13457128150531286
positive_delta_g,6,nfw_like_rs1,opposite_of_nfw_like_rs1,-0.18549238142302438,0.18549238142302438
positive_delta_g,6,nfw_like_rs3,opposite_of_nfw_like_rs3,-0.02984285846687667,0.02984285846687667
positive_delta_g,6,central_peak,central_peak,0.49530742177775033,0.49530742177775033
positive_delta_g,6,broad_outer_tail,opposite_of_broad_outer_tail,-0.1460028247465898,0.1460028247465898
signed_nfw_residual_of_residual,1,negative_inner_overshoot,negative_inner_overshoot,0.8687435160673134,0.8687435160673134
signed_nfw_residual_of_residual,1,positive_inner_excess,opposite_of_positive_inner_excess,-0.8687435160673134,0.8687435160673134
signed_nfw_residual_of_residual,1,positive_outer_tail,positive_outer_tail,0.8154944545929825,0.8154944545929825
signed_nfw_residual_of_residual,1,negative_outer_deficit,opposite_of_negative_outer_deficit,-0.8154944545929825,0.8154944545929825
signed_nfw_residual_of_residual,1,slope_mismatch_inner_neg_outer_pos,slope_mismatch_inner_neg_outer_pos,0.797061307028769,0.797061307028769
signed_nfw_residual_of_residual,1,slope_mismatch_inner_pos_outer_neg,opposite_of_slope_mismatch_inner_pos_outer_neg,-0.797061307028769,0.797061307028769
signed_nfw_residual_of_residual,2,negative_inner_overshoot,opposite_of_negative_inner_overshoot,-0.9360242443201826,0.9360242443201826
signed_nfw_residual_of_residual,2,positive_inner_excess,positive_inner_excess,0.9360242443201826,0.9360242443201826
signed_nfw_residual_of_residual,2,positive_outer_tail,opposite_of_positive_outer_tail,-0.8883315001493727,0.8883315001493727
signed_nfw_residual_of_residual,2,negative_outer_deficit,negative_outer_deficit,0.8883315001493727,0.8883315001493727
signed_nfw_residual_of_residual,2,slope_mismatch_inner_neg_outer_pos,opposite_of_slope_mismatch_inner_neg_outer_pos,-0.8792375913480506,0.8792375913480506
signed_nfw_residual_of_residual,2,slope_mismatch_inner_pos_outer_neg,slope_mismatch_inner_pos_outer_neg,0.8792375913480506,0.8792375913480506
signed_nfw_residual_of_residual,3,negative_inner_overshoot,negative_inner_overshoot,0.8774893853865112,0.8774893853865112
signed_nfw_residual_of_residual,3,positive_inner_excess,opposite_of_positive_inner_excess,-0.8774893853865112,0.8774893853865112
signed_nfw_residual_of_residual,3,positive_outer_tail,positive_outer_tail,0.8298548172780695,0.8298548172780695
signed_nfw_residual_of_residual,3,negative_outer_deficit,opposite_of_negative_outer_deficit,-0.8298548172780695,0.8298548172780695
signed_nfw_residual_of_residual,3,slope_mismatch_inner_neg_outer_pos,slope_mismatch_inner_neg_outer_pos,0.8675636673193912,0.8675636673193912
signed_nfw_residual_of_residual,3,slope_mismatch_inner_pos_outer_neg,opposite_of_slope_mismatch_inner_pos_outer_neg,-0.8675636673193912,0.8675636673193912
signed_nfw_residual_of_residual,4,negative_inner_overshoot,negative_inner_overshoot,0.5525041533455688,0.5525041533455688
signed_nfw_residual_of_residual,4,positive_inner_excess,opposite_of_positive_inner_excess,-0.5525041533455688,0.5525041533455688
signed_nfw_residual_of_residual,4,positive_outer_tail,positive_outer_tail,0.6096299528383282,0.6096299528383282
signed_nfw_residual_of_residual,4,negative_outer_deficit,opposite_of_negative_outer_deficit,-0.6096299528383282,0.6096299528383282
signed_nfw_residual_of_residual,4,slope_mismatch_inner_neg_outer_pos,slope_mismatch_inner_neg_outer_pos,0.6528552690455792,0.6528552690455792
signed_nfw_residual_of_residual,4,slope_mismatch_inner_pos_outer_neg,opposite_of_slope_mismatch_inner_pos_outer_neg,-0.6528552690455792,0.6528552690455792
signed_nfw_residual_of_residual,5,negative_inner_overshoot,negative_inner_overshoot,0.5453189087019352,0.5453189087019352
signed_nfw_residual_of_residual,5,positive_inner_excess,opposite_of_positive_inner_excess,-0.5453189087019352,0.5453189087019352
signed_nfw_residual_of_residual,5,positive_outer_tail,positive_outer_tail,0.6212398993705638,0.6212398993705638
signed_nfw_residual_of_residual,5,negative_outer_deficit,opposite_of_negative_outer_deficit,-0.6212398993705638,0.6212398993705638
signed_nfw_residual_of_residual,5,slope_mismatch_inner_neg_outer_pos,slope_mismatch_inner_neg_outer_pos,0.5584545269748584,0.5584545269748584
signed_nfw_residual_of_residual,5,slope_mismatch_inner_pos_outer_neg,opposite_of_slope_mismatch_inner_pos_outer_neg,-0.5584545269748584,0.5584545269748584
signed_nfw_residual_of_residual,6,negative_inner_overshoot,opposite_of_negative_inner_overshoot,-0.24417733644745332,0.24417733644745332
signed_nfw_residual_of_residual,6,positive_inner_excess,positive_inner_excess,0.24417733644745332,0.24417733644745332
signed_nfw_residual_of_residual,6,positive_outer_tail,opposite_of_positive_outer_tail,-0.3423757846809317,0.3423757846809317
signed_nfw_residual_of_residual,6,negative_outer_deficit,negative_outer_deficit,0.3423757846809317,0.3423757846809317
signed_nfw_residual_of_residual,6,slope_mismatch_inner_neg_outer_pos,opposite_of_slope_mismatch_inner_neg_outer_pos,-0.3741319567766064,0.3741319567766064
signed_nfw_residual_of_residual,6,slope_mismatch_inner_pos_outer_neg,slope_mismatch_inner_pos_outer_neg,0.3741319567766064,0.3741319567766064
