model,fit_window,params,message,fit_weighted_mse,full_weighted_mse,full_relative_rmse,eval_relative_rmse,full_mean_abs_fractional_error,eval_mean_abs_fractional_error,outer_speed_mean,outer_speed_flatness,target_outer_speed_mean,target_outer_speed_flatness,pred_slope_mean_10_40,target_slope_mean_10_40,pred_slope_near_minus_one_fraction_10_40,target_slope_near_minus_one_fraction_10_40,gap_positive_fraction,gap_mass_at_rmax,gap_density_nonnegative_fraction,gap_density_min,gap_density_max
NFW,0.3-40 kpc,"{""mass_scale"": 257.8354658189815, ""r_s"": 45.22650958501366}",ok,7.374637359948969,7.374637359948969,0.258123593234535,0.258123593234535,0.21281128180225808,0.21281128180225808,188.65930897002596,0.10192505469931797,186.9239326640059,0.02523488182335035,-0.4797038799393618,-0.8908002977246389,0.0,0.7349397590361446,0.5136363636363637,-8.795167206988605,0.29545454545454547,-0.004680884644805038,0.0012839088408763755
NFW,1-15 kpc,"{""mass_scale"": 1999.9999997899752, ""r_s"": 121.14247785604796}",ok,3.9473746573449957,24.848278718217472,0.38765874359898495,0.38765874359898495,0.5294474416075725,0.5294474416075725,233.6278835518995,0.14473940699566684,186.9239326640059,0.02523488182335035,-0.22833403533328314,-0.8908002977246389,0.0,0.7349397590361446,0.2318181818181818,-40.62304756695511,0.16818181818181818,-0.006035959383331786,0.0007832327775118522
NFW,3-30 kpc,"{""mass_scale"": 93.33780625452746, ""r_s"": 21.319682006207188}",ok,0.6352365807587818,16.016477744148578,0.311330649252373,0.311330649252373,0.19193067023346352,0.19193067023346352,190.82139017120411,0.05545606133891682,186.9239326640059,0.02523488182335035,-0.7438433336380746,-0.8908002977246389,0.30120481927710846,0.7349397590361446,0.3409090909090909,-4.157545183335506,0.2318181818181818,-0.01215126945709035,0.0003735500280297331
NFW,10-40 kpc,"{""mass_scale"": 52.28639666063047, ""r_s"": 13.429954469351888}",ok,0.002748406632988655,38.19851851012687,0.5039405463242321,0.5039405463242321,0.2308056567245827,0.2308056567245827,186.90262684423382,0.025339537190489963,186.9239326640059,0.02523488182335035,-0.9166533662328475,-0.8908002977246389,0.6807228915662651,0.7349397590361446,0.35909090909090907,0.5074686629048529,0.5863636363636363,-0.01948630158085236,0.00013349945347798883
cored/isothermal,0.3-40 kpc,"{""v0"": 193.05973825052885, ""r_c"": 5.45198014722673}",ok,0.09611939984801321,0.09611939984801321,0.03100693683619742,0.03100693683619742,0.0200556678112003,0.0200556678112003,186.51067166517825,0.028121976935137214,186.9239326640059,0.02523488182335035,-0.868080348626414,-0.8908002977246389,0.6987951807228916,0.7349397590361446,0.5272727272727272,-0.4670865440520766,0.33636363636363636,-0.0002800330542755455,0.0011377008692108697
cored/isothermal,1-15 kpc,"{""v0"": 192.12050120456374, ""r_c"": 5.437808209245725}",ok,0.16237484269508734,0.1028155116645652,0.03096931315665456,0.03096931315665456,0.02221927108192645,0.02221927108192645,185.63439103516444,0.027993642749458186,186.9239326640059,0.02523488182335035,-0.8686929118612757,-0.8908002977246389,0.6987951807228916,0.7349397590361446,0.7272727272727273,-0.13995077975196504,0.37727272727272726,-0.00025083409807161313,0.0011734982852349475
cored/isothermal,3-30 kpc,"{""v0"": 194.96677463159034, ""r_c"": 5.725556004552643}",ok,0.013584607945033153,0.15001059557450067,0.034814197202479025,0.034814197202479025,0.02395703323434584,0.02395703323434584,187.7329712146809,0.030633027064510755,186.9239326640059,0.02523488182335035,-0.8560746628886896,-0.8908002977246389,0.6626506024096386,0.7349397590361446,0.4,-1.0777416202628602,0.2818181818181818,-0.0001353560135398783,0.0016747654064163816
cored/isothermal,10-40 kpc,"{""v0"": 193.14564585371014, ""r_c"": 5.225214391693086}",ok,0.006435989844210327,0.18134991971879466,0.05156838607313402,0.05156838607313402,0.023332707128820865,0.023332707128820865,187.0870542905824,0.02609033427857149,186.9239326640059,0.02523488182335035,-0.8777661523229972,-0.8908002977246389,0.7228915662650602,0.7349397590361446,0.38181818181818183,-0.5480610478616997,0.3181818181818182,-0.000552507712510233,0.000546648276207575
log-potential tail,0.3-40 kpc,"{""A"": 84510.57107975577, ""r0"": 31.509691956105677}",ok,7.72574448344388,7.72574448344388,0.2669698622666151,0.2669698622666151,0.22579691844301103,0.22579691844301103,189.30033300318345,0.10948305507826162,186.9239326640059,0.02523488182335035,-0.4291086671579473,-0.8908002977246389,0.0,0.7349397590361446,0.5227272727272727,-10.399836261447993,0.30454545454545456,-0.004517637364490579,0.001337707785961014
log-potential tail,1-15 kpc,"{""A"": 199999.99999999997, ""r0"": 66.79479771806687}",ok,4.182896739508384,20.967031966023367,0.35586206467609294,0.35586206467609294,0.4806902799212913,0.4806902799212913,228.52321951993903,0.13798211920868053,186.9239326640059,0.02523488182335035,-0.2660868964884593,-0.8908002977246389,0.0,0.7349397590361446,0.2409090909090909,-36.10396177936142,0.17272727272727273,-0.00628277204521728,0.0007717205043906046
log-potential tail,3-30 kpc,"{""A"": 57891.04827134958, ""r0"": 12.451756359812721}",ok,0.8537853882056695,18.14441766649691,0.33180500746445,0.33180500746445,0.2261877936938306,0.2261877936938306,193.24126799078215,0.06939696763502869,186.9239326640059,0.02523488182335035,-0.648148562194374,-0.8908002977246389,0.0,0.7349397590361446,0.35,-7.494219377221067,0.2409090909090909,-0.012827461130138005,0.00041421252180017963
log-potential tail,10-40 kpc,"{""A"": 40311.18729615474, ""r0"": 3.326961694305602}",ok,0.027766557823921872,135.2276591821939,0.9445452670232916,0.9445452670232916,0.44158498890808995,0.44158498890808995,187.14232194777847,0.026539785518641515,186.9239326640059,0.02523488182335035,-0.8694079970417845,-0.8908002977246389,0.7048192771084337,0.7349397590361446,0.36363636363636365,-1.0469928300747773,0.35454545454545455,-0.0360445566822577,0.00018918373221011174
